JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;960;11/8/2016;10;11;22;31;33
INTRALOT_MINAS_5;959;10/8/2016;1;4;13;15;26
INTRALOT_MINAS_5;958;9/8/2016;7;9;29;30;32
INTRALOT_MINAS_5;957;8/8/2016;3;9;12;17;27
INTRALOT_MINAS_5;956;6/8/2016;1;6;13;17;26
INTRALOT_MINAS_5;955;5/8/2016;2;4;14;22;25
INTRALOT_MINAS_5;954;4/8/2016;10;12;14;24;33
INTRALOT_MINAS_5;953;3/8/2016;4;6;19;31;32
INTRALOT_MINAS_5;952;2/8/2016;3;18;20;22;25
INTRALOT_MINAS_5;951;1/8/2016;6;11;16;21;27
